IID	phenotype	binary	age	sex
base_01	1.2002365521954794	1	35	0
base_02	0.2883414685002231	0	36	1
base_03	-0.14322583761240865	0	37	0
base_04	1.9085410967024847	1	38	1
base_05	-2.090055302511908	0	39	0
base_06	1.0590606017509043	1	40	1
base_07	0.40985850166541093	0	41	0
base_08	0.09196059999142359	0	42	1
base_09	0.006290235386804982	0	43	0
base_10	2.6750175426905307	1	44	1
base_11	1.5863739556213707	1	45	0
base_12	2.296574087407478	1	46	1
base_13	-0.6326275275477898	0	47	0
base_14	1.440363402808409	1	48	1
base_15	0.7667464952556021	0	49	0
base_16	-0.1345425471295542	0	50	1
base_17	0.29778382944211873	0	51	0
base_18	1.8413890890588955	1	52	1
base_19	1.2230806554119704	1	53	0
base_20	-0.03738647810851763	0	54	1
base_21	1.6831995615133135	1	55	0
base_22	0.872011877449377	0	56	1
base_23	1.4482771858524786	1	57	0
base_24	2.383377266493561	1	58	1
base_25	0.7818676246350659	0	59	0
base_26	4.287917945910433	1	60	1
base_27	2.387016053837626	1	61	0
base_28	2.968306015339206	1	62	1
base_29	-0.7222160625614253	0	63	0
base_30	3.1521206491727614	1	64	1
base_31	3.3827335189554844	1	65	0
base_32	0.7478101463794684	0	66	1
base_33	1.268831992955334	0	67	0
base_34	3.171733283624008	1	68	1
base_35	2.141316479125433	1	69	0
base_36	3.2174200629389733	1	70	1
base_37	0.06828918217339514	0	71	0
base_38	0.4414963539168929	0	72	1
base_39	2.753625167259867	1	73	0
base_40	-0.38709021603140026	0	74	1
base_41	2.184850256578493	1	75	0
base_42	2.192895845179881	1	76	1
base_43	0.6052484963527544	0	77	0
base_44	0.8506208669036648	0	78	1
base_45	1.511847089354735	1	79	0
base_46	0.5457973217005733	0	80	1
base_47	1.8262015539804448	1	81	0
base_48	1.1654549936331002	0	82	1
base_49	1.3655219621954697	0	83	0
base_50	3.07079636809067	1	84	1
base_51	3.0437211545792517	1	85	0
base_52	1.6855397843062059	0	86	1
base_53	2.3320227913221903	1	87	0
base_54	2.321381141109375	1	88	1
base_55	0.6108496307149236	0	89	0
base_56	0.5473740474017565	0	90	1
base_57	0.33361213713790816	0	91	0
base_58	3.985255344448967	1	92	1
base_59	2.456845839647704	1	93	0
base_60	4.514754384451372	1	94	1
base_61	0.7120362580183011	0	95	0
base_62	2.2597028186990595	1	96	1
base_63	0.2506009504782978	0	97	0
base_64	2.785734897975889	1	98	1
base_65	0.8273238618179987	0	99	0
base_66	2.372294671925695	1	100	1
base_67	2.1431443095517935	1	101	0
base_68	0.4621577015871549	0	102	1
base_69	0.9633831106188335	0	103	0
base_70	3.834277779783882	1	104	1
base_71	1.5952488626311885	0	105	0
base_72	2.134251804756933	0	106	1
base_73	4.007457982894986	1	107	0
base_74	0.7933513304607644	0	108	1
base_75	1.7002580599368748	0	109	0
base_76	3.3903499595916973	1	110	1
base_77	2.347519120895106	1	111	0
base_78	1.030389972000868	0	112	1
base_79	3.92139298432134	1	113	0
base_80	2.663789053189789	1	114	1
base_81	1.2591941459369316	0	115	0
base_82	1.2580298854733774	0	116	1
base_83	4.169273336325507	1	117	0
base_84	2.7969554068306635	1	118	1
base_85	1.4178142354411596	0	119	0
base_86	2.5277449486046497	0	120	1
base_87	4.178060715258287	1	121	0
base_88	1.779196207152399	0	122	1
base_89	1.165356533005636	0	123	0
base_90	4.938281967767029	1	124	1
base_91	1.832099468759782	0	125	0
base_92	4.376095575840438	1	126	1
base_93	4.494810832470914	1	127	0
base_94	1.911295318253733	0	128	1
base_95	2.826298729939279	1	129	0
base_96	-0.2591488099146469	0	130	1
base_97	1.7267326941133838	0	131	0
base_98	1.9562825570435507	0	132	1
base_99	3.4905014861994825	1	133	0
base_100	3.98650885165815	1	134	1
base_101	0.3888802681530966	0	135	0
base_102	2.7316680182097786	0	136	1
base_103	2.782792460470447	1	137	0
base_104	3.8693479982939456	1	138	1
base_105	1.6534774346478704	0	139	0
base_106	4.858546362575103	1	140	1
base_107	2.141578940178315	0	141	0
base_108	2.412846645684775	0	142	1
base_109	1.1447647198033237	0	143	0
base_110	2.2255633356389946	0	144	1
base_111	1.3121095595508134	0	145	0
base_112	1.457000827816241	0	146	1
base_113	3.842870611039408	1	147	0
base_114	3.2259254338418724	1	148	1
base_115	1.32378521096544	0	149	0
base_116	5.104295050846353	1	150	1
base_117	2.4896277374662863	0	151	0
base_118	5.065780148352772	1	152	1
base_119	1.3211460458092075	0	153	0
base_120	3.0865342535462164	0	154	1
base_121	2.34314696492764	0	155	0
base_122	2.4437412056474863	0	156	1
base_123	2.2973540782778903	0	157	0
base_124	3.1117543841066757	0	158	1
base_125	4.38766440418673	1	159	0
base_126	3.8704774769985115	1	160	1
base_127	4.629530984562053	1	161	0
base_128	2.421838019304157	0	162	1
base_129	2.4877996960659146	0	163	0
base_130	2.969739624640181	0	164	1
base_131	4.192708218508588	1	165	0
base_132	4.510480666169745	1	166	1
base_133	2.7155982022109155	0	167	0
base_134	3.1724058343663883	0	168	1
base_135	4.968156261380191	1	169	0
base_136	3.503183313107499	1	170	1
base_137	4.73763713524984	1	171	0
base_138	3.4840604344591743	1	172	1
base_139	4.256546752735711	1	173	0
base_140	3.9110837306820354	1	174	1
base_141	3.9859343055487453	1	175	0
base_142	4.077730572214353	1	176	1
base_143	2.9622765443066092	0	177	0
