IID	phenotype	binary	age	sex
target_01	0.05	0	35	0
target_02	0.9	0	36	1
target_03	0.35	1	37	0
target_04	1.2	0	38	1
target_05	0.65	0	39	0
target_06	1.5	1	40	1
target_07	0.95	0	41	0
target_08	1.8	0	42	1
target_09	1.25	1	43	0
target_10	2.0999999999999996	0	44	1
target_11	1.55	0	45	0
target_12	2.3999999999999995	1	46	1
target_13	1.8499999999999999	0	47	0
target_14	2.6999999999999997	0	48	1
target_15	2.15	1	49	0
target_16	3.0	0	50	1
target_17	2.4499999999999997	0	51	0
target_18	3.3	1	52	1
target_19	2.7499999999999996	0	53	0
target_20	3.5999999999999996	0	54	1
target_21	3.05	1	55	0
target_22	3.8999999999999995	0	56	1
target_23	3.3499999999999996	0	57	0
target_24	4.199999999999999	1	58	1
target_25	3.6499999999999995	0	59	0
target_26	4.5	0	60	1
target_27	3.9499999999999997	1	61	0
target_28	4.8	0	62	1
target_29	4.25	0	63	0
target_30	5.1	1	64	1
target_31	4.55	0	65	0
target_32	5.3999999999999995	0	66	1
target_33	4.85	1	67	0
target_34	5.7	0	68	1
target_35	5.1499999999999995	0	69	0
target_36	6.0	1	70	1
target_37	5.449999999999999	0	71	0
target_38	6.3	0	72	1
target_39	5.75	1	73	0
target_40	6.6	0	74	1
target_41	6.05	0	75	0
target_42	6.8999999999999995	1	76	1
target_43	6.35	0	77	0
target_44	7.2	0	78	1
target_45	6.6499999999999995	1	79	0
target_46	7.5	0	80	1
target_47	6.949999999999999	0	81	0
target_48	7.8	1	82	1
target_49	7.249999999999999	0	83	0
target_50	8.1	0	84	1
target_51	7.55	1	85	0
target_52	8.4	0	86	1
target_53	7.85	0	87	0
target_54	8.7	1	88	1
target_55	8.15	0	89	0
target_56	9.0	0	90	1
target_57	8.450000000000001	1	91	0
target_58	9.299999999999999	0	92	1
target_59	8.75	0	93	0
target_60	9.6	1	94	1
target_61	9.05	0	95	0
target_62	9.9	0	96	1
target_63	9.35	1	97	0
target_64	10.2	0	98	1
target_65	9.65	0	99	0
target_66	10.5	1	100	1
target_67	9.950000000000001	0	101	0
target_68	10.799999999999999	0	102	1
target_69	10.25	1	103	0
target_70	11.1	0	104	1
target_71	10.55	0	105	0
target_72	11.4	1	106	1
target_73	10.85	0	107	0
target_74	11.7	0	108	1
target_75	11.15	1	109	0
target_76	12.0	0	110	1
target_77	11.450000000000001	0	111	0
target_78	12.299999999999999	1	112	1
target_79	11.75	0	113	0
target_80	12.6	0	114	1
target_81	12.05	1	115	0
target_82	12.9	0	116	1
target_83	12.35	0	117	0
target_84	13.2	1	118	1
target_85	12.65	0	119	0
target_86	13.5	0	120	1
target_87	12.950000000000001	1	121	0
target_88	13.799999999999999	0	122	1
target_89	13.25	0	123	0
target_90	14.1	1	124	1
target_91	13.55	0	125	0
target_92	14.4	0	126	1
target_93	13.85	1	127	0
target_94	14.7	0	128	1
target_95	14.15	0	129	0
target_96	15.0	1	130	1
target_97	14.45	0	131	0
target_98	15.299999999999999	0	132	1
target_99	14.75	1	133	0
target_100	15.6	0	134	1
target_101	15.05	0	135	0
target_102	15.899999999999999	1	136	1
target_103	15.35	0	137	0
target_104	16.2	0	138	1
target_105	15.65	1	139	0
target_106	16.5	0	140	1
target_107	15.95	0	141	0
target_108	16.8	1	142	1
target_109	16.25	0	143	0
target_110	17.099999999999998	0	144	1
target_111	16.55	1	145	0
target_112	17.4	0	146	1
target_113	16.85	0	147	0
target_114	17.7	1	148	1
target_115	17.15	0	149	0
target_116	18.0	0	150	1
target_117	17.45	1	151	0
target_118	18.3	0	152	1
target_119	17.75	0	153	0
target_120	18.599999999999998	1	154	1
target_121	18.05	0	155	0
target_122	18.9	0	156	1
target_123	18.35	1	157	0
target_124	19.2	0	158	1
target_125	18.65	0	159	0
target_126	19.5	1	160	1
target_127	18.95	0	161	0
target_128	19.8	0	162	1
target_129	19.25	1	163	0
target_130	20.099999999999998	0	164	1
target_131	19.55	0	165	0
target_132	20.4	1	166	1
target_133	19.85	0	167	0
target_134	20.7	0	168	1
target_135	20.15	1	169	0
target_136	21.0	0	170	1
target_137	20.45	0	171	0
target_138	21.3	1	172	1
target_139	20.75	0	173	0
target_140	21.599999999999998	0	174	1
target_141	21.05	1	175	0
target_142	21.9	0	176	1
target_143	21.35	0	177	0
target_144	22.2	1	178	1
target_145	21.65	0	179	0
target_146	22.5	0	180	1
target_147	21.95	1	181	0
target_148	22.8	0	182	1
target_149	22.25	0	183	0
target_150	23.099999999999998	1	184	1
target_151	22.55	0	185	0
target_152	23.4	0	186	1
target_153	22.85	1	187	0
target_154	23.7	0	188	1
target_155	23.15	0	189	0
target_156	24.0	1	190	1
target_157	23.45	0	191	0
target_158	24.3	0	192	1
target_159	23.75	1	193	0
target_160	24.599999999999998	0	194	1
